"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"C","1978.7","Intel 8086",1982,"AMD 8086",2,"#a4c639",,,,,,,,
"C","1979.7","Intel 8088",1982,"AMD 8088",2,"#a4c639",,,,,,,,
"C",1982,"Intel 80186",,"AMD 80186",2,"#a4c639",,,,,,,,
"C","1982.2","Intel 80286",1984,"Am286",2,"#a4c639",,,,,,,,
"C","1996.3","NexGen Nx586","1997.4","AMD K6",6,"#a0a0f0",,,,,,,,
"C","1995.4","AMD Am29000","1996.2","AMD K5",6,"#a4c639",,,,,,,,
,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,
"D","Intel 4004","#0771a6",22,,,,,,,,,,,
"D","AMD 8086","#a4c639",15,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"D","AMD Am29000","#a4c639",15,,,,,,,,,,,
"D","Slackware","#d3d7cf",22,,,,,,,,,,,
"D","Motorola 68000","#cc0000",6,,,,,,,,,,,
"D","Enoch","#a0a0f0",22,,,,,,,,,,,
"D","Arch","#0771a6",10,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,
"#","File Path","x Position","y Position",,,,,,,,,,,
"#SVG","images/tux.svg",485,0,,,,,,,,,,,
"#SVG","images/amd.svg",30,100,,,,,,,,,,,
"#SVG","images/info-connectors.svg",30,210,,,,,,,,,,,
